relation.code,relation.type,relation.short,relation.long.desc,visibility,correctness,comments.scores,participant.ID,cond,urban.test.score,age,gender,VR.experience,time.of.questionnaire,comments.questionnaire,time.of.unity.flight,comments.unity.time,trial,RAW.TLX,comments.drawing.time,drawing.time,relation.dim,order,relation.visible.on.both.sketchmaps
XYPG1,path-building.relations,Path to building 1?,"Correct, if both conditions apply:
- the first segment of the path goes through the building
- The last segment of the path overlaps with the building and goes across it",1,1,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,X,2D_first,1
ZPG1,path-building.relations,Path to building 1?,"Correct, if both conditions apply:
- the first segment of the path goes under the roof
- The last segment of the path is above the roof",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,Z,2D_first,1
XYPG2,path-building.relations,Path to building 2?,"Correct, if the path comes through the building",1,1,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,X,2D_first,1
ZPG2,path-building.relations,Path to building 2?,"Correct, if the path comes through the openning in the top of the building",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,Z,2D_first,1
XYPG3,path-building.relations,Path to building 3?,"Correct, if the path makes a left turn behind the building",0,NA,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,X,2D_first,0
ZPG3,path-building.relations,Path to building 3?,"Correct, the path's height is in the top half part of the building",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,Z,2D_first,1
XYPG4,path-building.relations,Path to building 4?,"Correct, if the path is to the right side of the building and does not cross/overlap it",0,NA,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,X,2D_first,0
ZPG4,path-building.relations,Path to building 4?,"Correct, if the path's height is in the top half part of the building",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,Z,2D_first,1
XYPG5,path-building.relations,Path to building 5?,"Correct, if the path goes between two towers",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,X,2D_first,1
ZPG5,path-building.relations,Path to building 5?,"Correct, if the path goes under the bridge of the building",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,Z,2D_first,1
XYPG6,path-building.relations,Path to building 6?,"Correct, if the path makes 2 circles around the building",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,X,2D_first,1
ZPG6,path-building.relations,Path to building 6?,"Correct, if the path starts from the bottom and goes higher while circumnavigating the building",1,0,NA,101,2D,13,32,Female,I never used VR,00:10:15.126,NA,00:06:04.34,NA,1,28.33,NA,00:05:45,Z,2D_first,1
