urban.test.score,participant.ID,age,gender,VR.experience,Example [A],Example [B],1 [A],1 [B],2 [A],2 [B],3 [A],3 [B],4 [A],4 [B],5 [A],5 [B],6 [A],6 [B],7 [A],7 [B],8 [A],8 [B],9 [A],9 [B],10 [A],10 [B],time.of.questionnaire,comments.questionnaire,time.of.unity.flight,time.of.unity.FOV.shark,time.of.unity.FOV.cat,time.of.unity.FOV.car,time.of.unity.FOV.rhinoceros,time.of.unity.FOV.sheep,time.of.unity.FOV.tree,comments.unity.time
13,101,32,Female,I never used VR,1,3,4,3,4,2,4,2,4,3,1,4,3,4,4,1,4,2,4,1,2,3,00:10:15.126,NA,00:06:04.34,00:02:38.16,00:01:14.68,00:00:37.28,00:00:53.01,00:00:28.46,00:01:28.91,NA
11,102,28,Female,I never used VR,1,3,4,3,1,4,4,2,2,3,1,2,2,1,4,1,1,3,1,2,1,3,00:21:18.488,NA,00:07:45.68,00:02:47.72,00:01:32.01,00:01:35.41,00:01:42.36,00:00:47.78,00:01:44.96,NA
13,103,22,Female,I never used VR,1,3,4,3,1,4,4,2,4,1,1,4,3,1,4,1,1,2,3,1,2,3,00:15:41.741,NA,00:07:25.92,00:02:02.13,00:01:50.17,00:01:05.44,00:01:08.84,00:01:37.50,00:01:09.31,NA
17,104,18,Male,I used VR <10 times in my life,1,3,4,3,1,2,4,2,4,3,1,2,3,1,2,1,1,3,3,1,1,3,00:11:37.329,NA,00:05:41.48,00:02:06.71,00:00:28.89,00:00:31.19,00:00:57.49,00:00:41.64,00:00:59.07,NA
11,105,24,Female,I never used VR,1,3,4,3,1,4,4,3,3,1,1,2,3,1,4,1,1,4,1,2,2,3,00:16:44.892,NA,00:07:39.32,00:02:21.93,00:01:52.34,00:01:11.27,00:01:12.62,00:00:58.62,00:01:24.05,NA
16,106,25,Female,I used VR <10 times in my life,1,3,4,3,4,2,3,2,4,3,1,4,3,4,2,1,1,3,3,1,4,3,00:20:00.658,NA,00:05:47.30,00:02:07.14,00:00:54.77,00:00:27.53,00:00:53.17,00:00:38.19,00:01:03.42,NA
16,107,22,Male,I used VR <10 times in my life,1,3,4,2,1,4,4,2,4,3,1,2,3,4,4,3,1,4,3,1,4,3,00:16:00.726,NA,00:10:24.30,00:02:19.42,00:02:22.65,00:02:06.98,00:02:09.92,00:01:04.17,00:01:59.03,NA
16,108,23,Female,I used VR <10 times in my life,1,3,4,3,1,2,4,2,4,3,1,4,4,1,2,1,1,4,3,1,1,3,00:18:25.343,NA,00:09:09.02,00:02:32.04,00:02:04.39,00:01:15.34,00:01:25.28,00:01:12.85,00:01:37.95,NA
17,109,26,Male,I used VR 10 times or more in my life but don't use it regularly,1,3,4,3,1,4,4,3,4,3,1,2,3,4,2,3,1,4,3,1,4,3,00:21:47.269,NA,00:08:05.21,00:02:15.57,00:01:42.20,00:01:15.19,00:02:00.88,00:00:33.25,00:02:11.05,NA
15,110,21,Female,I used VR <10 times in my life,1,3,4,3,1,4,4,2,4,3,1,4,3,4,2,1,1,4,1,2,1,3,00:18:19.954,NA,00:09:42.24,00:02:45.81,00:01:48.69,00:00:47.59,00:01:10.74,00:00:40.46,00:02:22.46,NA
12,111,30,Female,I used VR <10 times in my life,1,4,4,3,1,4,4,3,4,3,1,4,3,4,4,3,1,2,3,1,3,2,00:22:43.430,NA,00:07:21.27,00:01:48.74,00:01:36.24,00:00:24.41,00:01:11.20,00:00:53.78,00:01:24.51,NA
15,112,30,Male,I used VR <10 times in my life,4,3,4,2,1,4,4,2,4,1,1,2,3,4,2,3,1,3,3,1,4,3,00:31:26.704,NA,00:10:47.03,00:02:15.25,00:02:02.43,00:00:53.96,00:01:45.96,00:00:51.42,00:02:02.68,NA
14,113,23,Female,I used VR <10 times in my life,1,3,4,1,1,2,4,2,4,1,3,4,3,4,4,1,1,4,3,1,1,3,00:11:33.989,NA,00:06:49.64,00:02:10.90,00:01:36.34,00:01:20.79,00:01:13.82,00:00:51.69,00:01:12.76,NA
17,114,27,Female,I used VR <10 times in my life,1,4,1,3,1,4,4,2,4,3,3,2,3,4,2,1,1,4,3,1,4,3,00:08:42.458,NA,00:06:28.37,00:01:50.12,00:01:10.63,00:00:43.35,00:00:52.80,00:00:31.56,00:01:01.29,NA
7,115,28,Female,I used VR <10 times in my life,1,3,4,2,3,2,4,2,2,1,2,4,3,1,2,1,4,1,1,4,1,2,00:13:42.469,NA,00:05:52.30,00:02:37.53,00:01:30.77,00:00:50.76,00:01:20.74,00:00:36.68,00:01:23.09,NA
11,116,25,Male,I used VR <10 times in my life,1,3,4,3,1,4,4,2,4,3,1,4,1,3,4,3,1,2,3,2,4,2,00:13:37.367,NA,00:05:06.65,00:01:44.39,00:00:57.88,00:00:34.46,00:00:41.58,00:00:31.86,00:00:57.99,NA
14,117,18,Female,I used VR <10 times in my life,1,3,4,3,1,4,1,2,4,3,3,2,3,1,2,1,1,4,4,1,1,3,00:16:57.853,NA,00:06:15.37,00:02:08.96,00:01:39.80,00:00:32.27,00:00:54.09,00:00:36.74,00:01:22.46,NA
13,118,23,Male,I never used VR,1,4,4,3,3,4,4,3,4,3,3,2,3,4,2,1,1,4,1,3,1,3,00:56:44.561,Exceeds 45 minutes test time,00:06:40.83,00:01:50.11,00:01:24.13,00:01:06.66,00:00:48.29,00:00:43.17,00:00:37.74,Exceeds 45 minutes test time
18,119,19,Male,I used VR <10 times in my life,1,4,4,3,3,2,4,2,4,3,1,2,3,4,2,1,1,4,3,1,4,2,00:29:09.804,NA,00:10:19.10,00:04:00.57,00:02:45.17,00:01:05.87,00:01:49.12,00:01:32.09,00:02:42.66,NA
