relation.code,relation.type,relation.short,relation.long.desc,visibility,correctness,comments.scores,participant.ID,cond
RouteOrder,generic.relations,Route Order is correct?,"Correct, If the route goes through these buildings or objects sequentially: Building1/Car, B2/Cat, B3/Sheep, B4/Shark, B5/Trees, B6/Rhino, and then B1/Car once more.",NA,0,NA,101,2D
Routecontinous,generic.relations,Route continuous?,"Correct, if the route is clearly continous or its continuity can be easily interpreted even when the lines are separated.",NA,1,NA,101,2D
Perspective,generic.relations,Perspective of the Drawing?,"What perspective does the drawing(s) have

Note: If the buildings' walls/shape are not drawn, then it's considered NA",NA,single vintage point,"topdown, cross section, single vintage point, mix, 3D",101,2D
Multiple Parts?,generic.relations,Is the drawing split into multiple parts?,NA,NA,0,NA,101,2D
RouteOrder,generic.relations,Route Order is correct?,"Correct, If the route goes through these buildings or objects sequentially: Building1/Car, B2/Cat, B3/Sheep, B4/Shark, B5/Trees, B6/Rhino, and then B1/Car once more.",NA,0,NA,102,2D
Routecontinous,generic.relations,Route continuous?,"Correct, if the route is clearly continous or its continuity can be easily interpreted even when the lines are separated.",NA,1,NA,102,2D
Perspective,generic.relations,Perspective of the Drawing?,"What perspective does the drawing(s) have

Note: If the buildings' walls/shape are not drawn, then it's considered NA",NA,Topdown + cross section,"topdown, cross section, single vintage point, mix, 3D",102,2D
Multiple Parts?,generic.relations,Is the drawing split into multiple parts?,NA,NA,0,NA,102,2D
RouteOrder,generic.relations,Route Order is correct?,"Correct, If the route goes through these buildings or objects sequentially: Building1/Car, B2/Cat, B3/Sheep, B4/Shark, B5/Trees, B6/Rhino, and then B1/Car once more.",NA,1,NA,103,2D
Routecontinous,generic.relations,Route continuous?,"Correct, if the route is clearly continous or its continuity can be easily interpreted even when the lines are separated.",NA,1,NA,103,2D
Perspective,generic.relations,Perspective of the Drawing?,"What perspective does the drawing(s) have

Note: If the buildings' walls/shape are not drawn, then it's considered NA",NA,single vintage point,"topdown, cross section, single vintage point, mix, 3D",103,2D
Multiple Parts?,generic.relations,Is the drawing split into multiple parts?,NA,NA,no,NA,103,2D
RouteOrder,generic.relations,Route Order is correct?,"Correct, If the route goes through these buildings or objects sequentially: Building1/Car, B2/Cat, B3/Sheep, B4/Shark, B5/Trees, B6/Rhino, and then B1/Car once more.",NA,1,NA,104,2D
Routecontinous,generic.relations,Route continuous?,"Correct, if the route is clearly continous or its continuity can be easily interpreted even when the lines are separated.",NA,1,NA,104,2D
Perspective,generic.relations,Perspective of the Drawing?,"What perspective does the drawing(s) have

Note: If the buildings' walls/shape are not drawn, then it's considered NA",NA,single vintage point,"topdown, cross section, single vintage point, mix, 3D",104,2D
Multiple Parts?,generic.relations,Is the drawing split into multiple parts?,NA,NA,0,NA,104,2D
RouteOrder,generic.relations,Route Order is correct?,"Correct, If the route goes through these buildings or objects sequentially: Building1/Car, B2/Cat, B3/Sheep, B4/Shark, B5/Trees, B6/Rhino, and then B1/Car once more.",NA,1,NA,105,2D
Routecontinous,generic.relations,Route continuous?,"Correct, if the route is clearly continous or its continuity can be easily interpreted even when the lines are separated.",NA,1,NA,105,2D
Perspective,generic.relations,Perspective of the Drawing?,"What perspective does the drawing(s) have

Note: If the buildings' walls/shape are not drawn, then it's considered NA",NA,mix,"topdown, cross section, single vintage point, mix, 3D",105,2D
Multiple Parts?,generic.relations,Is the drawing split into multiple parts?,NA,NA,0,NA,105,2D
RouteOrder,generic.relations,Route Order is correct?,"Correct, If the route goes through these buildings or objects sequentially: Building1/Car, B2/Cat, B3/Sheep, B4/Shark, B5/Trees, B6/Rhino, and then B1/Car once more.",NA,1,NA,106,2D
