cond,participant.ID,trial,nasa.mental.demand,nasa.physical.demand,nasa.temporal.demand,nasa.performance,nasa.effort,nasa.frustration,RAW.TLX,comments.drawing.time,drawing.time
2D,101,1,45,30,25,20,30,20,28.33,NA,00:05:45
2D,102,2,25,25,25,40,35,30,30,NA,00:04:46
2D,103,2,25,15,50,55,45,65,42.5,NA,00:08:27
2D,104,2,60,40,40,70,75,75,60,NA,00:08:38
2D,105,1,60,25,30,55,20,65,42.5,NA,00:07:45
2D,106,1,50,50,0,25,30,15,28.33,NA,00:11:59
2D,107,1,65,20,30,65,60,75,52.5,NA,00:17:09
2D,108,1,80,5,45,45,80,5,43.33,NA,00:17:04
2D,109,2,80,15,70,35,55,75,55,NA,00:16:52
2D,110,2,15,5,15,35,45,5,20,NA,00:06:44
2D,111,1,85,50,50,10,50,50,49.17,NA,00:10:31
2D,112,2,50,45,50,25,55,35,43.33,NA,00:18:32
2D,113,1,65,15,35,35,75,55,46.67,NA,00:06:09
2D,114,2,35,15,5,40,40,30,27.5,NA,00:03:35
2D,115,1,15,20,30,10,40,0,19.17,NA,00:07:55
2D,116,2,45,0,20,40,60,35,33.33,NA,00:15:29
2D,117,1,30,5,25,60,30,40,31.67,NA,00:08:31
2D,118,1,75,35,55,20,55,55,49.17,Exceeds 45 minutes test time,00:08:02
2D,119,2,50,25,35,40,45,30,37.5,NA,00:04:35
2D,120,2,30,30,10,55,40,40,34.17,NA,00:08:47
2D,121,1,15,25,5,40,15,5,17.5,NA,00:12:05
2D,122,2,35,15,60,80,20,35,40.83,NA,00:09:04
2D,123,1,35,50,10,30,50,60,39.17,NA,00:12:06
2D,124,2,60,5,0,60,30,30,30.83,NA,00:02:41
2D,125,1,60,10,20,40,55,45,38.33,NA,00:08:30
2D,126,2,15,0,5,15,20,10,10.83,NA,00:07:38
2D,127,1,80,35,30,50,80,85,60,NA,00:09:02
2D,128,2,60,5,30,60,60,60,45.83,NA,00:08:56
2D,129,1,30,25,50,25,70,30,38.33,NA,00:06:08
2D,130,2,10,10,10,75,10,5,20,NA,00:03:05
2D,131,1,65,20,20,50,55,20,38.33,NA,00:14:05
2D,132,2,15,20,20,85,20,20,30,NA,00:08:37
2D,133,2,60,20,10,25,85,10,35,NA,00:09:25
2D,134,1,80,10,15,30,80,10,37.5,NA,00:07:57
2D,135,2,35,35,40,30,30,0,28.33,NA,00:03:09
2D,136,1,60,15,30,45,60,45,42.5,NA,00:06:17
2D,137,2,40,5,5,15,40,0,17.5,NA,00:05:29
2D,138,1,45,0,30,75,65,65,46.67,NA,00:16:41
2D,139,1,40,15,30,55,60,60,43.33,NA,00:10:35
2D,140,1,65,65,65,20,70,45,55,NA,00:05:53
2D,141,2,25,10,20,85,30,25,32.5,NA,00:08:31
3D,101,2,65,75,60,60,75,50,64.17,NA,00:27:33
3D,102,1,75,60,40,70,65,75,64.17,NA,00:30:35
3D,103,1,60,60,45,25,50,35,45.83,NA,00:22:50
3D,104,1,70,60,60,65,70,55,63.33,NA,00:13:36
3D,105,2,70,60,70,75,65,90,71.67,NA,00:30:56
3D,106,2,100,100,100,55,100,100,92.5,NA,00:25:11
3D,107,2,70,30,70,50,65,75,60,NA,00:25:38
3D,108,2,95,40,50,80,95,80,73.33,NA,00:17:56
3D,109,1,90,70,25,20,75,30,51.67,NA,00:35:58
3D,110,1,75,60,30,60,60,30,52.5,NA,00:33:11
3D,111,2,70,80,55,25,65,55,58.33,NA,00:12:17
3D,112,1,80,50,80,20,55,35,53.33,NA,00:28:42
3D,113,2,80,50,40,55,70,65,60,NA,00:14:44
3D,114,1,70,55,30,20,55,20,41.67,NA,00:16:55
3D,115,2,65,45,40,15,20,0,30.83,NA,00:16:23
3D,116,1,40,0,30,70,30,80,41.67,NA,00:16:58
3D,117,2,75,45,15,40,75,40,48.33,NA,00:22:47
3D,118,2,85,40,65,25,70,75,60,Exceeds 45 minutes test time,00:14:24
3D,119,1,80,30,25,35,55,25,41.67,NA,00:24:10
3D,120,1,75,25,25,20,80,35,43.33,NA,00:25:38
3D,121,2,85,95,95,85,90,95,90.83,NA,00:41:04
3D,122,1,85,60,90,30,70,35,61.67,NA,00:42:16
3D,123,2,70,100,80,30,70,75,70.83,NA,00:25:11
3D,124,1,60,0,45,60,70,30,44.17,NA,00:10:11
3D,125,2,75,60,70,80,70,25,63.33,NA,00:27:03
3D,126,1,75,15,15,30,65,50,41.67,NA,00:28:14
3D,127,2,80,60,75,30,80,80,67.5,NA,00:30:06
3D,128,1,85,10,50,10,75,5,39.17,NA,00:44:22
3D,130,1,90,40,100,55,85,55,70.83,NA,00:35:42
3D,132,1,30,90,60,0,90,20,48.33,NA,00:39:21
3D,133,1,70,30,15,15,70,5,34.17,NA,00:09:45
3D,134,2,95,25,10,40,85,30,47.5,NA,00:22:24
3D,135,1,65,65,35,65,60,0,48.33,NA,00:15:43
3D,136,2,75,25,55,35,55,50,49.17,NA,00:11:52
3D,137,1,75,30,10,15,60,10,33.33,NA,00:12:57
3D,138,2,90,60,40,90,85,65,71.67,NA,00:26:11
3D,139,2,45,40,65,40,45,40,45.83,NA,00:13:21
3D,140,2,90,90,70,35,90,65,73.33,NA,00:25:23
3D,141,1,60,30,40,70,65,15,46.67,NA,00:16:46
