participant,totalTime,shark,cat,car,rhinoceros,sheep,tree,Comments
101,364.34,158.16,74.68,37.28,53.01,28.46,88.91,
102,465.68,167.72,92.01,95.41,102.36,47.78,104.96,
103,445.92,122.13,110.17,65.44,68.84,97.5,69.31,
104,341.48,126.71,28.89,31.19,57.49,41.64,59.07,
105,459.32,141.93,112.34,71.27,72.62,58.62,84.05,
106,347.3,127.14,54.77,27.53,53.17,38.19,63.42,
107,624.3,139.42,142.65,126.98,129.92,64.17,119.03,
108,549.02,152.04,124.39,75.34,85.28,72.85,97.95,
109,485.21,135.57,102.2,75.19,120.88,33.25,131.05,
110,582.24,165.81,108.69,47.59,70.74,40.46,142.46,
111,441.27,108.74,96.24,24.41,71.2,53.78,84.51,
112,647.03,135.25,122.43,53.96,105.96,51.42,122.68,
113,409.64,130.9,96.34,80.79,73.82,51.69,72.76,
114,388.37,110.12,70.63,43.35,52.8,31.56,61.29,
115,352.3,157.53,90.77,50.76,80.74,36.68,83.09,
116,306.65,104.39,57.88,34.46,41.58,31.86,57.99,
117,375.37,128.96,99.8,32.27,54.09,36.74,82.46,
118,400.83,110.11,84.13,66.66,48.29,43.17,37.74,Exceeds 45 minutes test time
119,619.1,240.57,165.17,65.87,109.12,92.09,162.66,
120,521.59,125.51,141.51,105.89,80.24,72.3,80.57,
121,464.2,135.2,107.75,37.84,70.3,41.25,93.12,
122,377.5,125.48,111.35,47.77,64.31,41.98,97.25,
123,341.27,106.77,98.1,61.08,47.67,57.44,48.34,
124,403.75,148.76,132.05,47.72,57.79,59.75,71.83,
125,372.71,125.97,93.74,51.72,65.34,40.93,82.27,
126,565.96,121.94,142.37,77.41,89.18,63.38,82.77,
127,569.19,227.98,150.32,82.66,139.77,36.46,101.6,
128,525.49,140.29,143.97,44.68,91.43,70.28,120.37,
129,1102.28,571.61,151.42,103.64,105.91,63.46,78.55,Only done 2D sketching due to motion sickness
130,530.07,99.68,99.17,92.31,90.19,44.09,89.39,
132,713.71,185.46,148.55,80.91,129.66,93.12,189.2,
133,360.57,94.37,73.97,66.98,59.22,43.82,65.49,
134,312.26,96.43,68.68,72.04,58.4,36.3,69.83,
135,339.85,110.71,76.25,58.23,55.01,45.78,60.33,
136,419.35,129.6,71.31,41.53,68.8,50.18,82.73,
137,302.74,126.88,45.96,15.09,55.19,31.77,72.88,
138,596.61,179.21,182.87,80.93,100.07,69.12,104.84,
139,455.68,155.44,103.2,70.27,74.88,44.87,112.99,
140,439.78,147.59,108.58,80.33,94.8,36.37,85.92,
141,310.15,120.79,72.51,36.73,32,35.86,60.74,
